timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586200486740,120589,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-40,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120589,0,288
1586200487746,120579,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-41,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120579,0,288
1586200488746,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-42,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,283
1586200489746,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-43,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,284
1586200490739,120573,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-44,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120573,0,282
1586200491741,120591,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-45,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120591,0,284
1586200492741,120588,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-46,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120588,0,286
1586200493740,120589,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-47,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120589,0,284
1586200494745,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-48,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,281
1586200495741,120585,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-49,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120585,0,283
1586200496740,120573,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-50,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120573,0,282
1586200497740,120580,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-51,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120580,0,284
1586200498740,120579,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-52,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120579,0,282
1586200499740,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-53,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120584,0,283
1586200500740,120578,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-54,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120578,0,285
1586200501741,120582,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-55,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120582,0,282
1586200502743,120582,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-56,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120582,0,284
1586200503741,120596,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-57,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120596,0,285
1586200504744,120579,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-58,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120579,0,281
1586200505740,120599,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-59,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120599,0,287
1586200506741,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-60,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,283
1586200507740,120578,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-61,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120578,0,282
1586200508739,120571,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-62,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120571,0,282
1586200509741,120675,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-63,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120675,0,385
1586200510741,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-64,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,282
1586200511739,120590,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-65,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120590,0,284
1586200512740,120582,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-66,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120582,0,280
1586200513740,120591,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-67,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120591,0,292
1586200514739,120611,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-68,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120611,0,287
1586200515741,120596,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-69,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120596,0,283
1586200516741,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-70,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,283
1586200517740,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-71,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120584,0,282
1586200518740,120583,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-72,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120583,0,280
1586200519741,120617,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-73,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120617,0,289
1586200520740,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-74,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120584,0,285
1586200521740,120589,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-75,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120589,0,289
1586200522740,120575,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-76,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120575,0,282
1586200523740,120575,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-77,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120575,0,279
1586200524739,120591,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-78,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120591,0,287
1586200525741,120591,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-79,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120591,0,287
1586200526739,120574,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-80,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120574,0,284
1586200527739,120589,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-81,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120589,0,282
1586200528740,120573,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-82,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120573,0,282
1586200529738,120591,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-83,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120591,0,282
1586200530739,120575,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-84,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120575,0,281
1586200531740,120575,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-85,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120575,0,282
1586200532740,120575,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-86,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120575,0,282
1586200533740,120577,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-87,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120577,0,281
1586200534740,120574,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-88,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120574,0,282
1586200535740,120584,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-89,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120584,0,282
1586200536740,120579,HTTP Request GET,500,Internal Server Error,Grupa wątków 1-90,,false,,287,133,94,94,http://ez58211rss.azurewebsites.net/,120579,0,282
